Date,City,Country,PM2.5,PM10,NO2,SO2,CO,O3,Temperature,Humidity,Wind Speed,AQI
2023-11-20,Berlin,Germany,86.55,57.21,10.46,45.88,5.23,66.01,18.11,37.03,12.09,167.03
2023-03-12,Dubai,UAE,59.9,194.54,17.66,46.93,2.01,40.91,-5.47,37.52,11.73,153.27
2023-07-14,Mexico City,Mexico,75.44,39.67,62.65,39.07,4.56,166.01,34.23,52.41,7.1,161.3
2023-11-11,Johannesburg,South Africa,54.66,23.73,78.39,45.49,8.74,51.25,35.63,56.93,20.0,148.18
2023-11-12,Dubai,UAE,83.87,67.2,59.92,46.48,1.74,42.5,-3.05,33.58,11.25,165.65
2023-02-14,Johannesburg,South Africa,80.16,159.88,58.62,36.49,4.33,169.56,-3.89,46.74,18.58,163.73
2023-12-20,Mumbai,India,130.6,16.02,29.72,38.74,4.67,108.59,-1.71,76.41,16.39,189.78
2023-07-03,Cairo,Egypt,76.74,134.92,58.13,28.13,2.4,128.61,12.42,64.43,8.29,161.97
2023-04-13,Moscow,Russia,114.62,134.97,23.14,47.04,9.98,11.36,1.17,97.23,2.39,181.53
2023-10-18,Johannesburg,South Africa,138.56,138.33,89.22,13.98,5.04,91.35,21.67,28.39,17.48,193.89
2023-07-26,Paris,France,114.4,111.44,70.24,13.03,9.6,48.57,16.88,48.07,9.71,181.41
2023-04-22,Seoul,South Korea,13.4,122.56,57.01,37.06,6.11,51.51,13.4,68.86,11.16,84.44
2023-10-12,Mumbai,India,113.06,104.94,28.12,39.67,7.13,109.06,6.77,84.88,14.9,180.72
2023-11-12,London,UK,27.86,33.23,20.62,17.74,3.02,79.85,1.18,69.83,4.06,84.14
2023-07-04,Dubai,UAE,121.74,126.9,20.92,26.23,1.31,110.53,29.0,82.46,3.41,185.2
2023-01-07,Sydney,Australia,115.36,134.66,63.42,17.38,6.7,95.21,7.71,19.93,9.01,181.91
2023-02-28,Tokyo,Japan,34.52,121.22,42.06,15.6,9.82,152.49,2.33,65.78,6.6,106.41
2023-12-04,New York,USA,107.4,12.36,49.36,13.39,7.09,179.25,3.73,12.51,10.32,177.8
2023-05-15,Sydney,Australia,112.56,12.91,68.83,44.6,5.96,123.76,26.23,27.71,12.74,180.46
2023-02-19,Rio de Janeiro,Brazil,64.6,129.75,90.28,34.19,8.87,116.77,21.12,20.74,9.48,155.7
2023-03-03,Los Angeles,USA,71.28,170.3,70.5,40.83,2.88,77.55,34.64,54.51,16.98,159.15
2023-06-06,Istanbul,Turkey,128.72,152.11,39.65,16.87,9.49,28.93,38.95,30.54,15.38,188.81
2023-05-10,Beijing,China,7.3,76.03,18.7,32.45,6.58,64.88,20.72,64.77,16.95,71.8
2023-03-21,Rio de Janeiro,Brazil,22.36,25.06,7.53,26.21,5.71,161.32,22.04,64.16,3.67,72.58
2023-01-04,Tokyo,Japan,86.22,122.88,10.96,48.98,0.3,131.54,7.64,51.67,3.93,166.86
2023-08-02,Rio de Janeiro,Brazil,84.38,98.52,27.61,35.56,6.0,64.2,-2.29,97.92,5.88,165.91
2023-11-12,Toronto,Canada,21.74,45.46,31.71,11.91,3.19,42.5,-8.99,60.1,9.99,71.27
2023-01-14,Istanbul,Turkey,98.99,18.54,28.3,22.33,0.65,82.01,15.55,82.21,9.34,173.46
2023-04-19,Tokyo,Japan,8.46,163.34,61.87,14.99,5.9,78.08,37.78,12.16,13.38,105.13
2023-04-08,Johannesburg,South Africa,69.74,185.61,66.08,39.96,3.45,88.16,-4.04,95.42,10.47,158.35
2023-09-04,Cairo,Egypt,127.48,45.06,43.33,37.4,6.71,60.74,29.53,75.78,2.05,188.17
2023-08-22,Toronto,Canada,45.25,188.13,42.3,23.15,0.11,89.83,-2.85,92.72,16.5,125.01
2023-03-27,Mumbai,India,70.29,55.34,80.26,13.7,7.82,74.57,-4.75,14.3,17.33,158.64
2023-05-12,Johannesburg,South Africa,94.7,110.66,84.2,11.46,9.65,174.59,9.78,96.63,2.21,171.24
2023-03-19,London,UK,120.95,85.26,16.6,3.76,2.81,198.52,35.74,71.72,0.56,184.79
2023-02-07,Beijing,China,48.88,74.2,96.65,25.64,5.85,130.48,28.61,68.65,16.74,133.95
2023-12-18,London,UK,123.89,18.78,36.78,38.16,1.16,138.6,14.64,77.62,16.09,186.31
2023-02-21,Toronto,Canada,118.9,104.19,31.64,40.67,6.02,134.69,5.64,51.51,13.62,183.74
2023-03-26,Paris,France,129.38,185.78,7.15,3.33,4.02,14.55,7.51,67.8,16.78,189.15
2023-12-11,Toronto,Canada,147.21,134.29,91.35,14.84,3.07,120.41,18.82,29.22,5.21,198.35
2023-11-25,Dubai,UAE,99.95,63.58,97.73,29.2,4.26,12.54,39.97,78.85,9.42,173.95
2023-02-16,Seoul,South Korea,11.86,31.36,5.99,17.04,3.27,80.43,13.3,22.08,16.25,49.42
2023-06-23,Dubai,UAE,54.24,101.26,28.45,5.8,0.8,186.92,4.69,53.9,18.89,147.14
2023-07-03,Mumbai,India,92.76,13.85,53.36,27.31,2.64,74.83,1.72,69.7,5.76,170.24
2023-03-11,Paris,France,12.1,51.78,21.27,38.1,2.09,43.65,32.32,71.55,14.76,53.64
2023-02-08,Rio de Janeiro,Brazil,99.71,133.53,6.62,44.57,6.77,30.89,21.84,73.98,12.92,173.83
2023-05-17,Istanbul,Turkey,37.49,160.12,33.66,30.39,9.04,61.66,14.6,74.04,14.88,105.9
2023-06-11,Istanbul,Turkey,126.77,170.34,84.58,35.88,6.97,118.9,-0.65,59.08,18.16,187.8
2023-11-15,Seoul,South Korea,41.38,199.3,73.89,35.0,5.18,45.39,30.81,64.22,19.49,122.93
2023-06-13,Madrid,Spain,31.9,125.79,93.79,45.67,6.43,41.65,24.27,33.37,3.3,93.39
